"CODE";"NAME";"SECTOR";"LANGUAGE";"CURRENCY";"NPWP";"ACCOUNT_CODE";"NOTE";"ACC_VENDOR_CODE";"SHORT_NAME"
"1647";JACOSINDO LESTARI;BRTL;ID;IDR;"02.444.019.0-113.000";;;;JACOSINDO LESTARI
"1163";PHILIPS INDONESIA, PT;BRTL;ID;IDR;"01.001.756.4-092.000";P00130-AD/I;;P00130-AD/I;PHILIPS INDONESIA, PT
"1166";ANASTRA RECORD;BRTL;ID;IDR;;;;;ANASTRA RECORD
"1170";TLG COMMUNICATION PTE LTD;BRTL;ID;IDR;XXX;XXX;XXX;;TLG COMMUNICATION 
"1173";SIMEX PHARMACELTICAL;BRTL;ID;IDR;;;;;SIMEX PHARMACELTICAL
"1176";KENARI DJAJA PT.;BRTL;ID;IDR;XXX;XXX;XXX;;KENARI DJAJA 
"1198";CODE JAWA PT;BRTL;ID;IDR;XXX;XXX;XXX;;CODE JAWA 
"1201";ULTRA JAYA INDONESIA,PT;BRTL;ID;IDR;;;;;ULTRA JAYA 
"1204";URC INDONESIA PT;BRTL;ID;IDR;XXX;XXX;XXX;;URC INDONESIA 
"1207";RADIO KAYU MANIS;BRTL;ID;IDR;BARTER;XXX;XXX;R00065-AG/I ;RADIO KAYU 
"1211";NIRAMAS UTAMA, PT;BRTL;ID;IDR;;;;;NIRAMAS UTAMA, 
"1214";TUPPERWARE;BRTL;ID;IDR;;;;;TUPPERWARE
"1215";VIOLATAMA INTISEJATI, PT;BRTL;ID;IDR;;;;;VIOLATAMA INTISEJATI, PT
"1219";ANZ PANIN BANK, PT;BRTL;ID;IDR;"01.353.126.4-022.000";;;;ANZ PANIN BANK, PT
"1223";FRUTANG BEVERAGE INDUSTRIE, CV;BRTL;ID;IDR;;;;;FRUTANG BEVERAGE 
"1227";TRITEGUH MANUNGGAL SEJATI PT;BRTL;ID;IDR;XXX;XXX;XXX;;TRITEGUH MANUNGGAL 
"1232";DHARANA INTI BOGA, PT;BRTL;ID;IDR;;;;;DHARANA INTI 
"1234";MULTI CEMERLANG ABADI PT;BRTL;ID;IDR;XXX;XXX;XXX;;MULTI CEMERLANG 
"1237";DENTSU YOUNG N' RUBICAM;BRTL;ID;IDR;XXX;XXX;XXXX;;DENTSU YOUNG 
"1241";BIROTIKA SEMESTA / DHL, PT;BRTL;ID;IDR;;;;;BIROTIKA SEMESTA / DHL, PT
"1245";YUPI INDO JELLY GUM.PT;BRTL;ID;IDR;;;;;YUPI INDO 
"1254";SYSTEM MARKETING, PT;BRTL;ID;IDR;;;;;SYSTEM MARKETING, 
"1256";xxxxxxxxxxxxxxQUALITA PRIMA PARIWARA, PT [Duplicate !];BRTL;ID;IDR;"01.819.251-08.016.000";Q00003-AG/I;;Q00003-AG/I;xxxxxxxxxxxxxxQUALITA PRIMA PARIWARA, PT [Duplicate !]
"1259";MARTINA BERTO Tbk. PT;BRTL;ID;IDR;"01.308.874.5-007.000";;;;MARTINA BERTO Tbk. PT
"1263";HARIAN OLAH RAGA TOP SKOR;BRTL;ID;IDR;XXXX;T00055-AD/I;XXXX;T00055-AD/I;HARIAN OLAH RAGA TOP SKOR
"1268";DEPARTEMEN DALAM NEGERI;BRTL;ID;IDR;XXX;XXX;XXX;XXX;DEPARTEMEN DALAM NEGERI
"1271";MEDIFARMA LAB  INC  PT;BRTL;ID;IDR;;;;;MEDIFARMA LAB 
"1275";KOSMETIKA ALAM PESONA MANDIRI, PT;BRTL;ID;IDR;;;;;KOSMETIKA ALAM 
"1278";GALENIUM PHARMASIA LABORATORIES, PT;BRTL;ID;IDR;;;;;GALENIUM PHARMASIA 
"1283";PILKADA  ;BRTL;ID;IDR;;;;;PILKADA  
"1290";PDI TRESNO, PT;BRTL;ID;IDR;;;;;PDI TRESNO, 
"1292";PETROLIAM NASIONAL BERHAD;BRTL;ID;IDR;;;;;PETROLIAM NASIONAL 
"782";[BANNED] FORTUNE INDONESIA Tbk, PT;BADV;ID;IDR;"01.303.912.8-054.000";F00014-AG/I;Banned untuk Adv.ANCOL;F00014-AG/I;[BANNED] FORTUNE INDONESIA Tbk, PT
"882";PATCY MENTARI, PT;BADV;ID;IDR;"01.310.409.6-038.000";P00073-AG/I;;P00073-AG/I;PATCY MENTARI, PT
"780";YORI YOGA ARYAYOEN, PT;BRTL;ID;IDR;"02.107.898.5.407.000";BCA PONDOK GEDE A/C 687.0259.181;;;YORI YOGA 
"1311";AUSTRALIA INDONESIAN MILK INDUSTRY;BRTL;ID;IDR;;;;;AUSTRALIA INDONESIAN MILK INDUSTRY
"1315";PACIFIC FOOD INDONESIA, PT;BRTL;ID;IDR;;;;;PACIFIC FOOD 
"1318";SARI SEGAR ALAMI PT;BRTL;ID;IDR;"01.962.013.7-403.000";XXX;XXX;S000128 AD/I;SARI SEGAR 
"1323";GOODFOOD INDONESIA, PT;BRTL;ID;IDR;;;;;GOODFOOD INDONESIA, 
"1326";SRI RATU MALL SEMARANG;BRTL;ID;IDR;BARTER;XXX;XXX;S00130-AB/I ;SRI RATU 
"1332";SUKAJADI HOTEL BANDUNG;BRTL;ID;IDR;BARTER;XXX;XXX;S00129-AB/I ;SUKAJADI HOTEL 
"1337";GANDUM MAS KENCANA PT;BRTL;ID;IDR;XXX;XXX;XXX;;GANDUM MAS 
"1340";MITRA ARWAN PRATAMA, PT;BRTL;ID;IDR;;;;;MITRA ARWAN PRATAMA, PT
"1343";AYA CIPTA COM, PT;BRTL;ID;IDR;;;XXX;;AYA CIPTA COM, PT
"1350";PUSAN MANIS MULIA, PT;BRTL;ID;IDR;;;;;PUSAN MANIS 
